contest_id,contest_name,start_date,end_date
1,All Time,808272000,
2,1995,808272000,820972800
3,1996,820972800,852422400
4,1997,852422400,883872000
5,1998,883872000,915321600
6,1999,915321600,946771200
7,2000,946771200,978825600
8,2001,978825600,1010275200
9,2002,1010275200,1041724800
10,2003,1041724800,1073174400
11,2004,1073174400,1104624000
12,2005,1104624000,1136073600
13,2006,1136073600,1168128000
14,2007,1168128000,1199577600
15,2008,1199577600,1231027200
16,2009,1231027200,1262476800
17,2010,1262476800,1293926400
18,2011,1293926400,1325376000
19,2012,1325376000,1357430400
20,2013,1357430400,
