author_num,dist_id,version,date
1,1,0.05,1325377514
2,2,0.01002,1325404127
3,3,0.01,1325407624
4,4,0.0401,1325409612
5,5,5e-06,1325412051
6,6,1.428006,1325418791
7,7,0.21,1325419187
8,8,0.020001,1325426156
9,9,0.980001,1325431473
8,8,0.020002,1325431645
10,10,1,1325433483
11,11,3.000004,1325434564
12,12,0.04,1325436623
13,13,2.3000526,1325436868
14,14,0.04,1325437943
15,15,0,1325438570
16,16,1.01,1325438666
17,17,0.004,1325440496
18,18,0.04,1325442177
19,19,0.2,1325443177
1,1,0.05001,1325447351
3,3,0.02,1325450013
20,20,0.05,1325451619
20,21,0.057,1325451631
20,22,0.025,1325451643
21,23,6e-06,1325452876
12,24,0.03,1325453955
22,25,0.99900204,1325459502
23,26,0.9,1325463455
3,27,0.01,1325466192
24,28,3.007,1325468250
25,29,0.17,1325470613
26,30,0.001005,1325471566
27,31,0.01,1325471737
28,32,1.009,1325477575
29,33,0.003001,1325477762
30,34,0.001,1325482997
20,21,0.058,1325485465
23,26,0.91,1325486172
31,35,0.02,1325487712
25,36,0.78,1325490905
30,34,0.002,1325492449
32,37,0.4005,1325493535
33,38,0.17,1325493933
30,34,0.003,1325494560
34,39,1.4,1325494882
30,34,0.004,1325495589
11,11,3.000005,1325497726
26,30,0.001006,1325498125
35,40,0.02,1325498371
33,38,0.1701,1325499296
6,6,1.428007,1325500977
36,41,0.004,1325501064
37,42,0.004,1325502298
33,38,0.1702,1325502385
38,43,0.05,1325502392
33,38,0.1703,1325502942
38,44,0.06,1325504623
38,45,0.04,1325504635
38,46,0.06,1325504957
39,47,0.07,1325505580
2,2,0.01004,1325505754
40,48,0.010001,1325506756
38,45,0.0400001,1325506925
41,49,1.12002,1325507093
38,46,0.06001,1325507267
38,50,0.05,1325507354
38,51,0.05,1325507518
38,52,1.16,1325508140
36,53,0.002,1325512164
37,42,0.005,1325513102
42,54,1.003008,1325514187
43,55,0.01,1325517989
37,42,0.006,1325519745
44,56,1.617,1325524373
45,57,2.42,1325524552
15,58,0.02,1325525559
8,8,0.020003,1325528446
46,59,0.03,1325530128
47,60,0.001,1325530215
47,60,0.002,1325532348
12,24,0.04,1325532970
48,61,0.13,1325534198
24,62,0.00100016,1325534285
1,1,0.05002,1325535207
3,27,0.02,1325535678
48,61,0.14,1325538750
8,63,0.170001,1325538837
48,64,0.09,1325539305
49,65,0.01,1325539475
50,66,0.02,1325540781
40,48,0.010002,1325541186
51,67,0.012,1325542643
33,38,0.1704,1325545939
52,68,0.01,1325546868
53,69,0.060001,1325547642
54,70,4.06,1325547962
26,30,0.001007,1325548741
55,71,0.13,1325548911
26,72,0.004002,1325549234
56,73,1.005,1325551822
57,74,0.13,1325553278
47,60,0.003,1325553601
58,75,1.001004,1325553846
